Phosphorus Pentoxide|Class|12/15/2016|0|Solid (g)|1314-56-3|C 112 A|A4|Acros|215751000
Sulfur|Class|12/12/2016|0|Solid (g)|7704-34-9|C 112 A|A4|Flinn Scientific|S0138
Sulfur|Class|12/12/2016|0|Solid (g)|7704-34-9|C 112 A|A4|Flinn Scientific|
Ammonium Acetate|Research|12/12/2016|0|Solid (g)|631-61-8|C 112 A|A5|Sigma-Aldrich|158526-500G
Cobalt (II) Acetate, Tetrahydrate||12/15/2016|0|Solid (g)|6147-53-1|C 112 A|A5|Alfa Aesar|A18374
Copper(II) Acetate, Monohydrate||12/15/2016|0|Solid (g)|6046-93-1|C 112 A|A5|Alfa Aesar|14177
Polyvinyl Acetate||12/12/2016|0|Solid (g)|9003-20-7|C 112 A|A5|Alfa Aesar|A12732
Potassium Acetate||12/12/2016|0|Solid (g)|127-08-2|C 112 A|A5|Fisher|P171-500
Silver Acetate, Anhydrous||7/23/2018|0|Solid (g)|563-63-3|C 112 A|A5|Beantown Chemical|123430-100G
Sodium Acetate, Anhydrous||7/23/2018|0|Solid (g)|0127-09-03|C 112 A|A5||
Sodium Acetate, Anhydrous||12/12/2016|0|Solid (g)|127-09-3|C 112 A|A5|J.T. Baker|3470-01
Sodium Acetate, Anhydrous||12/12/2016|0|Solid (g)|127-09-3|C 112 A|A5|Sigma-Aldrich|241245-500G
Sodium Acetate, Trihydrate||12/12/2016|0|Solid (g)|6131-90-4|C 112 A|A5|Sigma-Aldrich|23650-0
Sodium Acetate, Trihydrate||7/23/2018|0|Solid (g)|6131-90-4|C 112 A|A5|Sigma-Aldrich|23650-0
Ammonium Chloride||12/12/2016|0|Solid (g)|12125-02-9|C 112 A|A6|Amresco|0621-500G
Ammonium Chloride, Solution||11/17/2017|0|Solid (g)|12125-02-09|C 112 A|A6|Amresco|0621-500G
Barium Chloride||12/12/2016|0|Solid (g)|10326-27-9|C 112 A|A6|Flinn Scientific|B0005
Boron Tribromide||12/12/2016|0|Solid (g)|10294-33-4|C 112 A|A6|Sigma-Aldrich|230367-5G
Calcium Chloride||7/23/2018|0|Solid (g)||C 112 A|A6|LD Carlson|
Calcium Chloride, -4+30- mesh||12/12/2016|0|Solid (g)|10043-52-4|C 112 A|A6|Sigma-Aldrich|239224-500G
Calcium Chloride, Anhydrous||12/12/2016|0|Solid (g)|10043-52-4|C 112 A|A6|EMD|CX0160-1
Cobalt Chloride||12/12/2016|0|Solid (g)|7791-13-1|C 112 A|A6|Fisher|S72893
Copper (I) Bromide||7/24/2018|0|Solid (g)|7787-70-4|C 112 A|A6|Strem|93-2907
Copper (I) Bromide||7/24/2018|0|Solid (g)||C 112 A|A6||
Copper(II) Chloride Hydrate||12/12/2016|0|Solid (g)|10125-13-0|C 112 A|A6|Sigma-Aldrich|C3279-100G
Iron (II) Chloride, Tetrahydrate||12/12/2016|0|Solid (g)|13478-10-9|C 112 A|A6|Alfa Aesar|A16327
Iron(III) Chloride, Hexahydrate||12/12/2016|0|Solid (g)|10025-77-1|C 112 A|A6|BTC|133635-500G
Lithium Chloride||12/12/2016|0|Solid (g)|7447-41-8|C 112 A|A6|Flinn Scientific|L0095
Magnesium Chloride||12/12/2016|0|Solid (g)|7791-18-6|C 112 A|A6|Fisher|M33-500
Magnesium Chloride, Hexahydrate||12/12/2016|0|Solid (g)|7791-18-6|C 112 A|A6|Sigma-Aldrich|M9272-100G
Nickel (II) Chloride, Hexahydrate||12/12/2016|0|Solid (g)|7791-20-0|C 112 A|A6|Alfa Aesar|53131
Nickel (III) Chloride||12/12/2016|0|Solid (g)|7718-54-9|C 112 A|A6|Sigma-Aldrich|451193-5G
Potassium Bromide||12/12/2016|0|Solid (g)|2/3/7758|C 112 A|A6|Fisher|S80134-1
Potassium Bromide||12/15/2016|0|Solid (g)|2/3/7758|C 112 A|A6||
Palladium (II) Chloride||12/12/2016|0|Solid (g)|10/1/7647|C 112 A|A7|Sigma-Aldrich|520659-1G
Potassium Chloride||12/12/2016|0|Solid (g)|9/7/7440|C 112 A|A7|Fisher|P-217
Rock Salt||12/12/2016|0|Solid (g)|7647-14-5|C 112 A|A7||
Sodium Chloride||12/12/2016|0|Solid (g)|7647-14-5|C 112 A|A7|BDH|BDH9286-500G
Sodium Chloride (rock salt)||12/15/2016|0|Solid (g)|7647-14-5|C 112 A|A7|Flinn Scientific|S0065
Strontium Chloride||12/12/2016|0|Solid (g)|10476-85-4|C 112 A|A7|Mallinckrodt|8228
Vanadium (V) Trichloride Oxide||12/15/2016|0|Solid (g)|7727-18-6|C 112 A|A7|Alfa Aesar|81118
Sodium Chloride||7/24/2018|0|Solid (g)|7647-14-5|C 112 A|A8|BDH|BDH9286-2.5KG
Sodium Chloride||7/24/2018|0|Solid (g)||C 112 A|A8||
